Treatment ;Replicate;Season;affected_leaves;% affected leaves;prop;exposed_leaves;prop1
Control;1;2;27;10,8;0,108;250;0,10801
Control;2;2;19;7,6;0,076;250;0,07601
Control;3;2;26;10,4;0,104;250;0,10401
Control;4;2;30;12,0;0,12;250;0,12001
Control;5;2;16;6,4;0,064;250;0,06401
Control;6;2;51;20,4;0,204;250;0,20401
Control;7;2;27;10,8;0,108;250;0,10801
Control;8;2;22;8,8;0,088;250;0,08801
Control;9;2;19;7,6;0,076;250;0,07601
Control;10;2;8;3,2;0,032;250;0,03201
Bellis;1;2;4;1,6;0,016;250;0,01601
Bellis;2;2;4;1,6;0,016;250;0,01601
Bellis;3;2;3;1,2;0,012;250;0,01201
Bellis;4;2;0;0,0;0;250;0,00001
Bellis;5;2;3;1,2;0,012;250;0,01201
Bellis;6;2;1;0,4;0,004;250;0,00401
Bellis;7;2;3;1,2;0,012;250;0,01201
Bellis;8;2;4;1,6;0,016;250;0,01601
Bellis;9;2;2;0,8;0,008;250;0,00801
Bellis;10;2;3;1,2;0,012;250;0,01201
Ziram;1;2;5;2,0;0,02;250;0,02001
Ziram;2;2;4;1,6;0,016;250;0,01601
Ziram;3;2;7;2,8;0,028;250;0,02801
Ziram;4;2;15;6,0;0,06;250;0,06001
Ziram;5;2;10;4,0;0,04;250;0,04001
Ziram;6;2;15;6,0;0,06;250;0,06001
Ziram;7;2;5;2,0;0,02;250;0,02001
Ziram;8;2;2;0,8;0,008;250;0,00801
Ziram;9;2;3;1,2;0,012;250;0,01201
Ziram;10;2;6;2,4;0,024;250;0,02401
Control;1;1;33;13,2;0,132;250;0,13201
Control;2;1;13;5,2;0,052;250;0,05201
Control;3;1;6;2,4;0,024;250;0,02401
Control;4;1;10;4,0;0,04;250;0,04001
Control;5;1;8;3,2;0,032;250;0,03201
Control;6;1;8;3,2;0,032;250;0,03201
Control;7;1;13;5,2;0,052;250;0,05201
Control;8;1;6;2,4;0,024;250;0,02401
Control;9;1;13;5,2;0,052;250;0,05201
Control;10;1;8;3,2;0,032;250;0,03201
Bellis;1;1;3;1,2;0,012;250;0,01201
Bellis;2;1;3;1,2;0,012;250;0,01201
Bellis;3;1;4;1,6;0,016;250;0,01601
Bellis;4;1;8;3,2;0,032;250;0,03201
Bellis;5;1;4;1,6;0,016;250;0,01601
Bellis;6;1;3;1,2;0,012;250;0,01201
Bellis;7;1;10;4,0;0,04;250;0,04001
Bellis;8;1;7;2,8;0,028;250;0,02801
Bellis;9;1;11;4,4;0,044;250;0,04401
Bellis;10;1;9;3,6;0,036;250;0,03601
Ziram;1;1;2;0,8;0,008;250;0,00801
Ziram;2;1;6;2,4;0,024;250;0,02401
Ziram;3;1;5;2,0;0,02;250;0,02001
Ziram;4;1;8;3,2;0,032;250;0,03201
Ziram;5;1;5;2,0;0,02;250;0,02001
Ziram;6;1;5;2,0;0,02;250;0,02001
Ziram;7;1;2;0,8;0,008;250;0,00801
Ziram;8;1;4;1,6;0,016;250;0,01601
Ziram;9;1;5;2,0;0,02;250;0,02001
Ziram;10;1;5;2,0;0,02;250;0,02001
