Treatment;Repetition;Day;Replicate;Fruit;spots_per_fruit;Treatment/Day;s.r.spots;Treatment.Day
Bellis;1;1;1;1;1;Bellis1;1;Bellis1
Bellis;1;1;1;2;0;Bellis1;0;Bellis1
Bellis;1;1;1;3;0;Bellis1;0;Bellis1
Bellis;1;1;1;4;0;Bellis1;0;Bellis1
Bellis;1;1;1;5;0;Bellis1;0;Bellis1
Bellis;1;1;2;1;0;Bellis1;0;Bellis1
Bellis;1;1;2;2;0;Bellis1;0;Bellis1
Bellis;1;1;2;3;0;Bellis1;0;Bellis1
Bellis;1;1;2;4;0;Bellis1;0;Bellis1
Bellis;1;1;2;5;0;Bellis1;0;Bellis1
Bellis;1;1;3;1;0;Bellis1;0;Bellis1
Bellis;1;1;3;2;0;Bellis1;0;Bellis1
Bellis;1;1;3;3;0;Bellis1;0;Bellis1
Bellis;1;1;3;4;1;Bellis1;1;Bellis1
Bellis;1;1;3;5;0;Bellis1;0;Bellis1
Bellis;1;1;4;1;0;Bellis1;0;Bellis1
Bellis;1;1;4;2;0;Bellis1;0;Bellis1
Bellis;1;1;4;3;0;Bellis1;0;Bellis1
Bellis;1;1;4;4;0;Bellis1;0;Bellis1
Bellis;1;1;4;5;0;Bellis1;0;Bellis1
Bellis;1;7;1;1;5;Bellis7;2,236067977;Bellis7
Bellis;1;7;1;2;10;Bellis7;3,16227766;Bellis7
Bellis;1;7;1;3;12;Bellis7;3,464101615;Bellis7
Bellis;1;7;1;4;8;Bellis7;2,828427125;Bellis7
Bellis;1;7;1;5;1;Bellis7;1;Bellis7
Bellis;1;7;2;1;0;Bellis7;0;Bellis7
Bellis;1;7;2;2;0;Bellis7;0;Bellis7
Bellis;1;7;2;3;6;Bellis7;2,449489743;Bellis7
Bellis;1;7;2;4;4;Bellis7;2;Bellis7
Bellis;1;7;2;5;2;Bellis7;1,414213562;Bellis7
Bellis;1;7;3;1;6;Bellis7;2,449489743;Bellis7
Bellis;1;7;3;2;2;Bellis7;1,414213562;Bellis7
Bellis;1;7;3;3;0;Bellis7;0;Bellis7
Bellis;1;7;3;4;1;Bellis7;1;Bellis7
Bellis;1;7;3;5;6;Bellis7;2,449489743;Bellis7
Bellis;1;7;4;1;1;Bellis7;1;Bellis7
Bellis;1;7;4;2;0;Bellis7;0;Bellis7
Bellis;1;7;4;3;10;Bellis7;3,16227766;Bellis7
Bellis;1;7;4;4;4;Bellis7;2;Bellis7
Bellis;1;7;4;5;0;Bellis7;0;Bellis7
Bellis;1;15;1;1;2;Bellis15;1,414213562;Bellis15
Bellis;1;15;1;2;8;Bellis15;2,828427125;Bellis15
Bellis;1;15;1;3;1;Bellis15;1;Bellis15
Bellis;1;15;1;4;3;Bellis15;1,732050808;Bellis15
Bellis;1;15;1;5;0;Bellis15;0;Bellis15
Bellis;1;15;2;1;1;Bellis15;1;Bellis15
Bellis;1;15;2;2;3;Bellis15;1,732050808;Bellis15
Bellis;1;15;2;3;5;Bellis15;2,236067977;Bellis15
Bellis;1;15;2;4;6;Bellis15;2,449489743;Bellis15
Bellis;1;15;2;5;5;Bellis15;2,236067977;Bellis15
Bellis;1;15;3;1;7;Bellis15;2,645751311;Bellis15
Bellis;1;15;3;2;7;Bellis15;2,645751311;Bellis15
Bellis;1;15;3;3;2;Bellis15;1,414213562;Bellis15
Bellis;1;15;3;4;10;Bellis15;3,16227766;Bellis15
Bellis;1;15;3;5;0;Bellis15;0;Bellis15
Bellis;1;15;4;1;0;Bellis15;0;Bellis15
Bellis;1;15;4;2;6;Bellis15;2,449489743;Bellis15
Bellis;1;15;4;3;3;Bellis15;1,732050808;Bellis15
Bellis;1;15;4;4;0;Bellis15;0;Bellis15
Bellis;1;15;4;5;14;Bellis15;3,741657387;Bellis15
Captan;1;1;1;1;0;Captan1;0;Captan1
Captan;1;1;1;2;1;Captan1;1;Captan1
Captan;1;1;1;3;0;Captan1;0;Captan1
