fungicide,repetition,day,replicate,fruit,spots_per_fruit
Bellis,1,1,1,1,1
Bellis,1,1,1,2,0
Bellis,1,1,1,3,0
Bellis,1,1,1,4,0
Bellis,1,1,1,5,0
Bellis,1,1,2,1,0
Bellis,1,1,2,2,0
Bellis,1,1,2,3,0
Bellis,1,1,2,4,0
Bellis,1,1,2,5,0
Bellis,1,1,3,1,0
Bellis,1,1,3,2,0
Bellis,1,1,3,3,0
Bellis,1,1,3,4,1
Bellis,1,1,3,5,0
Bellis,1,1,4,1,0
Bellis,1,1,4,2,0
Bellis,1,1,4,3,0
Bellis,1,1,4,4,0
Bellis,1,1,4,5,0
Bellis,1,7,1,1,5
Bellis,1,7,1,2,10
Bellis,1,7,1,3,12
Bellis,1,7,1,4,8
Bellis,1,7,1,5,1
Bellis,1,7,2,1,0
Bellis,1,7,2,2,0
Bellis,1,7,2,3,6
Bellis,1,7,2,4,4
Bellis,1,7,2,5,2
Bellis,1,7,3,1,6
Bellis,1,7,3,2,2
Bellis,1,7,3,3,0
Bellis,1,7,3,4,1
Bellis,1,7,3,5,6
Bellis,1,7,4,1,1
Bellis,1,7,4,2,0
Bellis,1,7,4,3,10
Bellis,1,7,4,4,4
Bellis,1,7,4,5,0
Bellis,1,15,1,1,2
Bellis,1,15,1,2,8
Bellis,1,15,1,3,1
Bellis,1,15,1,4,3
Bellis,1,15,1,5,0
Bellis,1,15,2,1,1
Bellis,1,15,2,2,3
Bellis,1,15,2,3,5
Bellis,1,15,2,4,6
Bellis,1,15,2,5,5
Bellis,1,15,3,1,7
Bellis,1,15,3,2,7
Bellis,1,15,3,3,2
Bellis,1,15,3,4,10
Bellis,1,15,3,5,0
Bellis,1,15,4,1,0
Bellis,1,15,4,2,6
Bellis,1,15,4,3,3
Bellis,1,15,4,4,0
Bellis,1,15,4,5,14
Captan,1,1,1,1,0
Captan,1,1,1,2,1
Captan,1,1,1,3,0
Captan,1,1,1,4,0
Captan,1,1,1,5,0
Captan,1,1,2,1,0
Captan,1,1,2,2,0
Captan,1,1,2,3,1
Captan,1,1,2,4,0
Captan,1,1,2,5,2
Captan,1,1,3,1,0
Captan,1,1,3,2,0
Captan,1,1,3,3,0
Captan,1,1,3,4,0
Captan,1,1,3,5,1
Captan,1,1,4,1,1
Captan,1,1,4,2,1
Captan,1,1,4,3,1
Captan,1,1,4,4,1
Captan,1,1,4,5,1
Captan,1,7,1,1,0
Captan,1,7,1,2,0
Captan,1,7,1,3,0
Captan,1,7,1,4,4
Captan,1,7,1,5,1
Captan,1,7,2,1,1
Captan,1,7,2,2,0
Captan,1,7,2,3,0
Captan,1,7,2,4,0
Captan,1,7,2,5,1
Captan,1,7,3,1,2
Captan,1,7,3,2,3
Captan,1,7,3,3,1
Captan,1,7,3,4,7
Captan,1,7,3,5,2
Captan,1,7,4,1,7
Captan,1,7,4,2,6
Captan,1,7,4,3,6
Captan,1,7,4,4,3
Captan,1,7,4,5,0
Captan,1,15,1,1,10
Captan,1,15,1,2,35
Captan,1,15,1,3,4
Captan,1,15,1,4,4
Captan,1,15,1,5,8
Captan,1,15,2,1,0
Captan,1,15,2,2,11
Captan,1,15,2,3,3
Captan,1,15,2,4,20
Captan,1,15,2,5,15
Captan,1,15,3,1,5
Captan,1,15,3,2,8
Captan,1,15,3,3,0
Captan,1,15,3,4,0
Captan,1,15,3,5,14
Captan,1,15,4,1,10
Captan,1,15,4,2,17
