fungicide,repetition,replicate,fruit,spots_per_fruit
Control,1,1,1,33
Control,1,1,2,32
Control,1,1,3,40
Control,1,1,4,22
Control,1,1,5,16
Control,1,2,1,16
Control,1,2,2,6
Control,1,2,3,14
Control,1,2,4,41
Control,1,2,5,30
Control,1,3,1,33
Control,1,3,2,24
Control,1,3,3,29
Control,1,3,4,30
Control,1,3,5,20
Control,1,4,1,22
Control,1,4,2,34
Control,1,4,3,32
Control,1,4,4,21
Control,1,4,5,26
Bellis,1,1,1,0
Bellis,1,1,2,5
Bellis,1,1,3,4
Bellis,1,1,4,4
Bellis,1,1,5,2
Bellis,1,2,1,2
Bellis,1,2,2,5
Bellis,1,2,3,6
Bellis,1,2,4,5
Bellis,1,2,5,7
Bellis,1,3,1,4
Bellis,1,3,2,0
Bellis,1,3,3,8
Bellis,1,3,4,2
Bellis,1,3,5,7
Bellis,1,4,1,6
Bellis,1,4,2,5
Bellis,1,4,3,8
Bellis,1,4,4,3
Bellis,1,4,5,4
Merpan,1,1,1,3
Merpan,1,1,2,8
Merpan,1,1,3,3
Merpan,1,1,4,10
Merpan,1,1,5,3
Merpan,1,2,1,7
Merpan,1,2,2,3
Merpan,1,2,3,3
Merpan,1,2,4,3
Merpan,1,2,5,11
Merpan,1,3,1,9
Merpan,1,3,2,10
Merpan,1,3,3,8
Merpan,1,3,4,5
Merpan,1,3,5,4
Merpan,1,4,1,7
Merpan,1,4,2,2
Merpan,1,4,3,3
Merpan,1,4,4,0
Merpan,1,4,5,4
Timorex,1,1,1,18
Timorex,1,1,2,23
Timorex,1,1,3,16
Timorex,1,1,4,13
Timorex,1,1,5,24
Timorex,1,2,1,10
Timorex,1,2,2,17
Timorex,1,2,3,5
Timorex,1,2,4,24
Timorex,1,2,5,26
Timorex,1,3,1,37
Timorex,1,3,2,35
Timorex,1,3,3,24
Timorex,1,3,4,10
Timorex,1,3,5,8
Timorex,1,4,1,5
Timorex,1,4,2,10
Timorex,1,4,3,13
Timorex,1,4,4,17
Timorex,1,4,5,15
Ziram,1,1,1,5
Ziram,1,1,2,5
Ziram,1,1,3,7
Ziram,1,1,4,19
Ziram,1,1,5,5
Ziram,1,2,1,7
Ziram,1,2,2,3
Ziram,1,2,3,2
Ziram,1,2,4,8
Ziram,1,2,5,7
Ziram,1,3,1,1
Ziram,1,3,2,4
Ziram,1,3,3,6
Ziram,1,3,4,5
Ziram,1,3,5,4
Ziram,1,4,1,2
Ziram,1,4,2,4
Ziram,1,4,3,0
Ziram,1,4,4,3
Ziram,1,4,5,2
Control,2,1,1,45
Control,2,1,2,33
Control,2,1,3,45
Control,2,1,4,30
Control,2,1,5,17
Control,2,2,1,26
Control,2,2,2,16
Control,2,2,3,19
Control,2,2,4,41
Control,2,2,5,30
Control,2,3,1,33
Control,2,3,2,34
Control,2,3,3,39
Control,2,3,4,20
Control,2,3,5,35
Control,2,4,1,32
Control,2,4,2,24
Control,2,4,3,33
Control,2,4,4,31
Control,2,4,5,16
Bellis,2,1,1,0
Bellis,2,1,2,3
Bellis,2,1,3,4
Bellis,2,1,4,4
Bellis,2,1,5,2
Bellis,2,2,1,5
Bellis,2,2,2,2
Bellis,2,2,3,7
Bellis,2,2,4,5
Bellis,2,2,5,6
Bellis,2,3,1,0
Bellis,2,3,2,8
Bellis,2,3,3,4
Bellis,2,3,4,7
Bellis,2,3,5,2
Bellis,2,4,1,6
Bellis,2,4,2,4
Bellis,2,4,3,9
Bellis,2,4,4,2
Bellis,2,4,5,4
Merpan,2,1,1,5
Merpan,2,1,2,9
Merpan,2,1,3,2
Merpan,2,1,4,8
Merpan,2,1,5,5
Merpan,2,2,1,3
Merpan,2,2,2,6
Merpan,2,2,3,4
Merpan,2,2,4,3
Merpan,2,2,5,12
Merpan,2,3,1,8
Merpan,2,3,2,9
Merpan,2,3,3,9
Merpan,2,3,4,6
Merpan,2,3,5,5
Merpan,2,4,1,2
Merpan,2,4,2,8
Merpan,2,4,3,2
Merpan,2,4,4,1
Merpan,2,4,5,3
Timorex,2,1,1,20
Timorex,2,1,2,24
Timorex,2,1,3,20
Timorex,2,1,4,8
Timorex,2,1,5,12
Timorex,2,2,1,25
Timorex,2,2,2,15
Timorex,2,2,3,0
Timorex,2,2,4,22
Timorex,2,2,5,26
Timorex,2,3,1,31
Timorex,2,3,2,32
Timorex,2,3,3,14
Timorex,2,3,4,18
Timorex,2,3,5,13
Timorex,2,4,1,7
Timorex,2,4,2,9
Timorex,2,4,3,14
Timorex,2,4,4,16
Timorex,2,4,5,13
Ziram,2,1,1,7
Ziram,2,1,2,5
Ziram,2,1,3,7
Ziram,2,1,4,18
Ziram,2,1,5,7
Ziram,2,2,1,6
Ziram,2,2,2,4
Ziram,2,2,3,2
Ziram,2,2,4,8
Ziram,2,2,5,7
Ziram,2,3,1,2
Ziram,2,3,2,5
Ziram,2,3,3,4
Ziram,2,3,4,4
Ziram,2,3,5,4
Ziram,2,4,1,2
Ziram,2,4,2,0
Ziram,2,4,3,4
Ziram,2,4,4,2
Ziram,2,4,5,3
