fungicide;strain;repetition;replicate;dose;germinated_conidia;total_conida;non_germinated_conidia;inhibition_perc;germination_percent
Bellis;S23;1;1;100;0;100;100;100;0
Bellis;S23;1;2;100;0;100;100;100;0
Bellis;S23;1;3;100;0;100;100;100;0
Bellis;S20;1;1;100;0;100;100;100;0
Bellis;S20;1;2;100;0;100;100;100;0
Bellis;S20;1;3;100;0;100;100;100;0
Bellis;S8;1;1;100;0;100;100;100;0
Bellis;S8;1;2;100;0;100;100;100;0
Bellis;S8;1;3;100;0;100;100;100;0
Bellis;S23;1;1;50;0;100;100;100;0
Bellis;S23;1;2;50;0;100;100;100;0
Bellis;S23;1;3;50;0;100;100;100;0
Bellis;S20;1;1;50;0;100;100;100;0
Bellis;S20;1;2;50;0;100;100;100;0
Bellis;S20;1;3;50;0;100;100;100;0
Bellis;S8;1;1;50;0;100;100;100;0
Bellis;S8;1;2;50;0;100;100;100;0
Bellis;S8;1;3;50;0;100;100;100;0
Bellis;S23;1;1;10;0;100;100;100;0
Bellis;S23;1;2;10;0;100;100;100;0
Bellis;S23;1;3;10;1;100;99;99;1
Bellis;S20;1;1;10;0;100;100;100;0
Bellis;S20;1;2;10;0;100;100;100;0
Bellis;S20;1;3;10;0;100;100;100;0
Bellis;S8;1;1;10;0;100;100;100;0
Bellis;S8;1;2;10;0;100;100;100;0
Bellis;S8;1;3;10;1;100;99;99;1
Bellis;S23;1;1;1;0;100;100;100;0
Bellis;S23;1;2;1;2;100;98;98;2
Bellis;S23;1;3;1;3;100;97;97;3
Bellis;S20;1;1;1;0;100;100;100;0
Bellis;S20;1;2;1;0;100;100;100;0
Bellis;S20;1;3;1;1;100;99;99;1
Bellis;S8;1;1;1;0;100;100;100;0
Bellis;S8;1;2;1;0;100;100;100;0
Bellis;S8;1;3;1;1;100;99;99;1
Bellis;S23;1;1;0.1;24;100;76;76;14
Bellis;S23;1;2;0.1;26;100;74;74;20
Bellis;S23;1;3;0.1;22;100;78;78;12
Bellis;S20;1;1;0.1;9;100;91;91;9
Bellis;S20;1;2;0.1;12;100;88;88;12
Bellis;S20;1;3;0.1;10;100;90;90;10
Bellis;S8;1;1;0.1;10;100;90;90;10
Bellis;S8;1;2;0.1;5;100;95;95;5
Bellis;S8;1;3;0.1;7;100;93;93;7
Ziram;S23;1;1;100;0;100;100;100;0
Ziram;S23;1;2;100;0;100;100;100;0
Ziram;S23;1;3;100;0;100;100;100;0
Ziram;S20;1;1;100;0;100;100;100;0
Ziram;S20;1;2;100;0;100;100;100;0
Ziram;S20;1;3;100;0;100;100;100;0
Ziram;S8;1;1;100;0;100;100;100;0
Ziram;S8;1;2;100;0;100;100;100;0
Ziram;S8;1;3;100;0;100;100;100;0
Ziram;S23;1;1;50;0;100;100;100;0
Ziram;S23;1;2;50;0;100;100;100;0
Ziram;S23;1;3;50;0;100;100;100;0
Ziram;S20;1;1;50;0;100;100;100;0
Ziram;S20;1;2;50;0;100;100;100;0
Ziram;S20;1;3;50;0;100;100;100;0
Ziram;S8;1;1;50;0;100;100;100;0
Ziram;S8;1;2;50;0;100;100;100;0
Ziram;S8;1;3;50;0;100;100;100;0
Ziram;S23;1;1;10;3;100;97;97;3
Ziram;S23;1;2;10;0;100;100;100;0
Ziram;S23;1;3;10;3;100;97;97;3
Ziram;S20;1;1;10;1;100;99;99;1
Ziram;S20;1;2;10;1;100;99;99;1
Ziram;S20;1;3;10;0;100;100;100;0
Ziram;S8;1;1;10;0;100;100;100;0
Ziram;S8;1;2;10;1;100;99;99;1
Ziram;S8;1;3;10;1;100;99;99;1
Ziram;S23;1;1;1;35;100;65;55;45
Ziram;S23;1;2;1;30;100;70;50;50
Ziram;S23;1;3;1;30;100;70;55;45
Ziram;S20;1;1;1;53;100;47;47;53
Ziram;S20;1;2;1;55;100;45;45;55
Ziram;S20;1;3;1;58;100;42;52;48
Ziram;S8;1;1;1;55;100;45;45;55
Ziram;S8;1;2;1;53;100;47;57;43
Ziram;S8;1;3;1;56;100;44;44;56
Ziram;S23;1;1;0.1;52;100;48;38;62
Ziram;S23;1;2;0.1;55;100;45;35;65
Ziram;S23;1;3;0.1;50;100;50;40;60
Ziram;S20;1;1;0.1;75;100;25;25;75
Ziram;S20;1;2;0.1;62;100;38;38;62
Ziram;S20;1;3;0.1;70;100;30;30;70
Ziram;S8;1;1;0.1;75;100;25;25;75
Ziram;S8;1;2;0.1;67;100;33;33;67
Ziram;S8;1;3;0.1;66;100;34;34;66
Timorex;S23;1;1;1000;0;100;100;100;0
Timorex;S23;1;2;1000;0;100;100;100;0
Timorex;S23;1;3;1000;0;100;100;100;0
Timorex;S20;1;1;1000;0;100;100;100;0
Timorex;S20;1;2;1000;0;100;100;100;0
Timorex;S20;1;3;1000;0;100;100;100;0
Timorex;S8;1;1;1000;0;100;100;100;0
Timorex;S8;1;2;1000;0;100;100;100;0
Timorex;S8;1;3;1000;0;100;100;100;0
Timorex;S23;1;1;500;49;100;50;51;49
Timorex;S23;1;2;500;55;100;42;45;55
Timorex;S23;1;3;500;53;100;46;47;53
Timorex;S20;1;1;500;60;100;39;40;60
Timorex;S20;1;2;500;58;100;40;42;58
Timorex;S20;1;3;500;55;100;45;45;55
Timorex;S8;1;1;500;63;100;36;49;51
Timorex;S8;1;2;500;62;100;35;45;55
