fungicide;strain;experiment;dose;plate;colony_diameter
Bellis;S23;1;0;1;53
Bellis;S23;1;0;2;55
Bellis;S23;1;0;3;56
Bellis;S20;1;0;1;52
Bellis;S20;1;0;2;53
Bellis;S20;1;0;3;52
Bellis;S8;1;0;1;51
Bellis;S8;1;0;2;51
Bellis;S8;1;0;3;52
Bellis;S23;1;100;1;0
Bellis;S23;1;100;2;0
Bellis;S23;1;100;3;0
Bellis;S20;1;100;1;0
Bellis;S20;1;100;2;0
Bellis;S20;1;100;3;0
Bellis;S8;1;100;1;0
Bellis;S8;1;100;2;0
Bellis;S8;1;100;3;0
Bellis;S23;1;50;1;0
Bellis;S23;1;50;2;0
Bellis;S23;1;50;3;0
Bellis;S20;1;50;1;0
Bellis;S20;1;50;2;0
Bellis;S20;1;50;3;0
Bellis;S8;1;50;1;0
Bellis;S8;1;50;2;0
Bellis;S8;1;50;3;0
Bellis;S23;1;10;1;0
Bellis;S23;1;10;2;0
Bellis;S23;1;10;3;0
Bellis;S20;1;10;1;0
Bellis;S20;1;10;2;0
Bellis;S20;1;10;3;0
Bellis;S8;1;10;1;0
Bellis;S8;1;10;2;0
Bellis;S8;1;10;3;0
Bellis;S23;1;1;1;5
Bellis;S23;1;1;2;5
Bellis;S23;1;1;3;5
Bellis;S20;1;1;1;6
Bellis;S20;1;1;2;5
Bellis;S20;1;1;3;5
Bellis;S8;1;1;1;8
Bellis;S8;1;1;2;7
Bellis;S8;1;1;3;7
Bellis;S23;1;0,1;1;18,5
Bellis;S23;1;0,1;2;19,5
Bellis;S23;1;0,1;3;19,5
Bellis;S20;1;0,1;1;19
Bellis;S20;1;0,1;2;19,5
Bellis;S20;1;0,1;3;19,5
Bellis;S8;1;0,1;1;15
Bellis;S8;1;0,1;2;15
Bellis;S8;1;0,1;3;15
Bellis;S23;1;0,01;1;36
Bellis;S23;1;0,01;2;36
Bellis;S23;1;0,01;3;35,5
Bellis;S20;1;0,01;1;33
Bellis;S20;1;0,01;2;32
Bellis;S20;1;0,01;3;32
Bellis;S8;1;0,01;1;30
Bellis;S8;1;0,01;2;29
