fungicide,season,tree,leaves,diseased
Control,2,1,250,27
Control,2,2,250,19
Control,2,3,250,26
Control,2,4,250,30
Control,2,5,250,16
Control,2,6,250,40
Control,2,7,250,27
Control,2,8,250,22
Control,2,9,250,19
Control,2,10,250,8
Bellis,2,1,250,4
Bellis,2,2,250,4
Bellis,2,3,250,3
Bellis,2,4,250,0
Bellis,2,5,250,3
Bellis,2,6,250,1
Bellis,2,7,250,3
Bellis,2,8,250,4
Bellis,2,9,250,2
Bellis,2,10,250,3
Ziram,2,1,250,5
Ziram,2,2,250,4
Ziram,2,3,250,7
Ziram,2,4,250,15
Ziram,2,5,250,10
Ziram,2,6,250,15
Ziram,2,7,250,5
Ziram,2,8,250,2
Ziram,2,9,250,3
Ziram,2,10,250,6
Control,1,1,250,23
Control,1,2,250,13
Control,1,3,250,6
Control,1,4,250,10
Control,1,5,250,8
Control,1,6,250,8
Control,1,7,250,13
Control,1,8,250,6
Control,1,9,250,13
Control,1,10,250,8
Bellis,1,1,250,3
Bellis,1,2,250,3
Bellis,1,3,250,4
Bellis,1,4,250,8
Bellis,1,5,250,4
Bellis,1,6,250,3
Bellis,1,7,250,10
Bellis,1,8,250,7
Bellis,1,9,250,11
Bellis,1,10,250,9
Ziram,1,1,250,2
Ziram,1,2,250,6
Ziram,1,3,250,5
Ziram,1,4,250,8
Ziram,1,5,250,5
Ziram,1,6,250,5
Ziram,1,7,250,2
Ziram,1,8,250,4
Ziram,1,9,250,5
Ziram,1,10,250,5
