Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Bellis;S23;1;0;1;7;58;53
Bellis;S23;1;0;2;7;60;55
Bellis;S23;1;0;3;7;61;56
Bellis;S20;1;0;1;7;57;52
Bellis;S20;1;0;2;7;58;53
Bellis;S20;1;0;3;7;57;52
Bellis;S8;1;0;1;7;56;51
Bellis;S8;1;0;2;7;56;51
Bellis;S8;1;0;3;7;57;52
Bellis;S23;1;100;1;7;5;0
Bellis;S23;1;100;2;7;5;0
Bellis;S23;1;100;3;7;5;0
Bellis;S20;1;100;1;7;5;0
Bellis;S20;1;100;2;7;5;0
Bellis;S20;1;100;3;7;5;0
Bellis;S8;1;100;1;7;5;0
Bellis;S8;1;100;2;7;5;0
Bellis;S8;1;100;3;7;5;0
Bellis;S23;1;50;1;7;5;0
Bellis;S23;1;50;2;7;5;0
Bellis;S23;1;50;3;7;5;0
Bellis;S20;1;50;1;7;5;0
Bellis;S20;1;50;2;7;5;0
Bellis;S20;1;50;3;7;5;0
Bellis;S8;1;50;1;7;5;0
Bellis;S8;1;50;2;7;5;0
Bellis;S8;1;50;3;7;5;0
Bellis;S23;1;10;1;7;5;0
Bellis;S23;1;10;2;7;5;0
Bellis;S23;1;10;3;7;5;0
Bellis;S20;1;10;1;7;5;0
Bellis;S20;1;10;2;7;5;0
Bellis;S20;1;10;3;7;5;0
Bellis;S8;1;10;1;7;5;0
Bellis;S8;1;10;2;7;5;0
Bellis;S8;1;10;3;7;5;0
Bellis;S23;1;1;1;7;10;5
Bellis;S23;1;1;2;7;10;5
Bellis;S23;1;1;3;7;10;5
Bellis;S20;1;1;1;7;11;6
Bellis;S20;1;1;2;7;10;5
Bellis;S20;1;1;3;7;10;5
Bellis;S8;1;1;1;7;13;8
Bellis;S8;1;1;2;7;12;7
Bellis;S8;1;1;3;7;12;7
Bellis;S23;1;0,1;1;7;23,5;18,5
Bellis;S23;1;0,1;2;7;24,5;19,5
Bellis;S23;1;0,1;3;7;24,5;19,5
Bellis;S20;1;0,1;1;7;24;19
Bellis;S20;1;0,1;2;7;24,5;19,5
Bellis;S20;1;0,1;3;7;24,5;19,5
Bellis;S8;1;0,1;1;7;20;15
Bellis;S8;1;0,1;2;7;20;15
Bellis;S8;1;0,1;3;7;20;15
Bellis;S23;1;0,01;1;7;41;36
Bellis;S23;1;0,01;2;7;41;36
Bellis;S23;1;0,01;3;7;40,5;35,5
Bellis;S20;1;0,01;1;7;38;33
Bellis;S20;1;0,01;2;7;37;32
Bellis;S20;1;0,01;3;7;37;32
Bellis;S8;1;0,01;1;7;35;30
Bellis;S8;1;0,01;2;7;34;29
Bellis;S8;1;0,01;3;7;34;29
Bellis;S23;2;0;1;7;57,8;52,8
Bellis;S23;2;0;2;7;59,9;54,9
Bellis;S23;2;0;3;7;61;56
Bellis;S20;2;0;1;7;56,9;51,9
Bellis;S20;2;0;2;7;58,2;53,2
Bellis;S20;2;0;3;7;56,7;51,7
Bellis;S8;2;0;1;7;54,8;49,8
Bellis;S8;2;0;2;7;54,9;49,9
Bellis;S8;2;0;3;7;57;52
Bellis;S23;2;100;1;7;4,8;-0,2
Bellis;S23;2;100;2;7;4,9;-0,1
Bellis;S23;2;100;3;7;5;0
Bellis;S20;2;100;1;7;4,9;-0,1
Bellis;S20;2;100;2;7;5,2;0,2
Bellis;S20;2;100;3;7;4,7;-0,3
Bellis;S8;2;100;1;7;4,8;-0,2
Bellis;S8;2;100;2;7;4,9;-0,1
Bellis;S8;2;100;3;7;5;0
Bellis;S23;2;50;1;7;4,9;-0,1
Bellis;S23;2;50;2;7;5,2;0,2
Bellis;S23;2;50;3;7;4,7;-0,3
Bellis;S20;2;50;1;7;4,8;-0,2
Bellis;S20;2;50;2;7;4,9;-0,1
Bellis;S20;2;50;3;7;5;0
Bellis;S8;2;50;1;7;4,9;-0,1
Bellis;S8;2;50;2;7;5,2;0,2
Bellis;S8;2;50;3;7;4,7;-0,3
Bellis;S23;2;10;1;7;4,8;-0,2
Bellis;S23;2;10;2;7;4,9;-0,1
Bellis;S23;2;10;3;7;5;0
Bellis;S20;2;10;1;7;4,9;-0,1
Bellis;S20;2;10;2;7;5,2;0,2
Bellis;S20;2;10;3;7;4,7;-0,3
Bellis;S8;2;10;1;7;4,8;-0,2
Bellis;S8;2;10;2;7;4,9;-0,1
Bellis;S8;2;10;3;7;5;0
Bellis;S23;2;1;1;7;9,9;4,9
Bellis;S23;2;1;2;7;10,2;5,2
Bellis;S23;2;1;3;7;9,7;4,7
Bellis;S20;2;1;1;7;10,8;5,8
Bellis;S20;2;1;2;7;9,9;4,9
Bellis;S20;2;1;3;7;10;5
Bellis;S8;2;1;1;7;12,9;7,9
Bellis;S8;2;1;2;7;12,2;7,2
Bellis;S8;2;1;3;7;11,7;6,7
Bellis;S23;2;0,1;1;7;23,3;18,3
Bellis;S23;2;0,1;2;7;24,4;19,4
Bellis;S23;2;0,1;3;7;24,5;19,5
Bellis;S20;2;0,1;1;7;23,9;18,9
Bellis;S20;2;0,1;2;7;24,7;19,7
Bellis;S20;2;0,1;3;7;24,2;19,2
Bellis;S8;2;0,1;1;7;23;18
Bellis;S8;2;0,1;2;7;22;17
Bellis;S8;2;0,1;3;7;21;16
Bellis;S23;2;0,01;1;7;40,9;35,9
Bellis;S23;2;0,01;2;7;41,2;36,2
Bellis;S23;2;0,01;3;7;40,2;35,2
Bellis;S20;2;0,01;1;7;38;33
Bellis;S20;2;0,01;2;7;37;32
Bellis;S20;2;0,01;3;7;36;31
Bellis;S8;2;0,01;1;7;37;32
Bellis;S8;2;0,01;2;7;35;30
Bellis;S8;2;0,01;3;7;38;33
Bellis;S23;3;0;1;7;58;53
Bellis;S20;3;0;2;7;55;50
Bellis;S8;3;0;3;7;48;43
Bellis;S23;3;0,01;1;7;41;36
Bellis;S20;3;0,01;2;7;38;33
Bellis;S8;3;0,01;3;7;37;32
Bellis;S23;3;0,1;1;7;23,5;18,5
Bellis;S20;3;0,1;2;7;22;17
Bellis;S8;3;0,1;3;7;20;15
Bellis;S23;3;1;1;7;10;5
Bellis;S20;3;1;2;7;11;6
Bellis;S8;3;1;3;7;12;7
Bellis;S23;3;10;1;7;5;0
Bellis;S20;3;10;2;7;5;0
Bellis;S8;3;10;3;7;5;0
Bellis;S23;3;50;1;7;5;0
Bellis;S20;3;50;2;7;5;0
Bellis;S8;3;50;3;7;5;0
Bellis;S23;3;100;1;7;5;0
Bellis;S20;3;100;2;7;5;0
Bellis;S8;3;100;3;7;5;0
Bellis;S23;3;0;1;7;60;55
Bellis;S20;3;0;2;7;54;49
Bellis;S8;3;0;3;7;49;44
Bellis;S23;3;0,01;1;7;41;36
Bellis;S20;3;0,01;2;7;36;31
Bellis;S8;3;0,01;3;7;28;23
Bellis;S23;3;0,1;1;7;24,5;19,5
Bellis;S20;3;0,1;2;7;24,5;19,5
Bellis;S8;3;0,1;3;7;23;18
